model,bm25_k1,bm25_b,search_time_sec,avg_query_time_sec
BM25,1.2,1.0,2.8190980849999505,0.012529324822222002
BM25,2.0,0.3,2.964146120999885,0.01317398275999949
BM25,0.9,1.0,3.010605813999973,0.013380470284444326
BM25,1.5,0.5,2.9415821570000844,0.013073698475555931
BM25,,,3.597828160000063,0.015990347377778057
BM25,1.2,0.75,2.9616746719998446,0.013162998542221532
BM25,1.2,0.5,2.9203786770001443,0.012979460786667308
BM25,0.9,0.75,2.854288950999944,0.012685728671110863
BM25,1.5,0.3,2.829366202000074,0.012574960897778107
BM25,0.6,1.0,2.96156062,0.013162491644444446
BM25,0.9,0.5,2.877615730999878,0.012789403248888347
BM25,1.2,0.3,3.0093514399998185,0.013374895288888081
BM25,0.6,0.75,3.224504060000072,0.014331129155555875
BM25,0.6,0.5,3.0956678600000487,0.01375852382222244
BM25,0.9,0.3,2.945222369000021,0.01308987719555565
BM25,1.5,1.0,2.8070439110001644,0.012475750715556287
BM25,2.0,0.75,2.8563419179999983,0.012694852968888882
BM25,0.6,0.3,3.21659012300006,0.01429595610222249
BM25,2.0,0.5,2.868380686000137,0.012748358604445053
BM25,2.0,1.0,2.9905952439999055,0.013291534417777359
BM25,1.5,0.75,2.81680659299991,0.012519140413332934
PL2,,,3.2601309320000382,0.014489470808889059
TF_IDF,,,4.953421271000025,0.022015205648888998
